epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1376.23,1.3586,1.275,1.26898,0.70603,0.79629,0.81116,0.54094,1.1702,1.03853,1.2164,0.0011882,0.0011882,0.0011882
43,1402.27,1.35679,1.27839,1.28081,0.63348,0.72727,0.76775,0.51976,1.18251,1.14058,1.22864,0.0011684,0.0011684,0.0011684
44,1429.19,1.33158,1.24592,1.28226,0.73881,0.79679,0.82165,0.55582,1.14097,1.03465,1.19926,0.0011486,0.0011486,0.0011486
45,1454.33,1.35467,1.17873,1.27809,0.81206,0.71627,0.83047,0.56153,1.17454,1.03326,1.21849,0.0011288,0.0011288,0.0011288
46,1478.81,1.31142,1.19444,1.25086,0.78601,0.7861,0.82314,0.55571,1.13025,0.99427,1.18035,0.001109,0.001109,0.001109
47,1504.3,1.30738,1.22336,1.23524,0.70183,0.81817,0.83187,0.56502,1.15219,1.02055,1.20735,0.0010892,0.0010892,0.0010892
48,1529.81,1.27671,1.15954,1.22134,0.84932,0.70588,0.84995,0.58228,1.13499,0.97423,1.20166,0.0010694,0.0010694,0.0010694
49,1555.21,1.27515,1.18326,1.228,0.82911,0.61497,0.78378,0.52399,1.1454,1.10944,1.20481,0.0010496,0.0010496,0.0010496
50,1580.71,1.30803,1.16951,1.2489,0.73992,0.75401,0.81727,0.55135,1.19754,0.97778,1.23054,0.0010298,0.0010298,0.0010298
51,1606,1.23179,1.09562,1.20936,0.76668,0.77005,0.8251,0.55369,1.18256,0.98844,1.2301,0.00101,0.00101,0.00101
52,1630.32,1.26845,1.12261,1.24425,0.76754,0.76471,0.82858,0.54768,1.21707,1.0017,1.25067,0.0009902,0.0009902,0.0009902
53,1653.91,1.29293,1.13825,1.25904,0.75212,0.81129,0.84479,0.55054,1.21021,0.95981,1.23717,0.0009704,0.0009704,0.0009704
54,1678,1.23415,1.06458,1.18959,0.82469,0.78075,0.84255,0.55891,1.18009,0.96344,1.19588,0.0009506,0.0009506,0.0009506
55,1703.32,1.19979,1.06171,1.18275,0.80475,0.74332,0.83527,0.57372,1.13051,0.93455,1.17964,0.0009308,0.0009308,0.0009308
56,1728.62,1.27394,1.16755,1.25784,0.76788,0.81375,0.86809,0.60717,1.08738,0.89094,1.18046,0.000911,0.000911,0.000911
57,1754,1.18855,1.17486,1.17189,0.75242,0.79634,0.8477,0.61445,1.07663,0.8786,1.15094,0.0008912,0.0008912,0.0008912
58,1778.9,1.21455,1.06672,1.1838,0.73514,0.84492,0.84494,0.58837,1.07081,0.90011,1.13161,0.0008714,0.0008714,0.0008714
59,1803.86,1.2298,1.01572,1.21308,0.71542,0.87166,0.84509,0.59072,1.08759,0.90249,1.16503,0.0008516,0.0008516,0.0008516
60,1828.4,1.17703,1.01296,1.17683,0.81586,0.83957,0.86026,0.61679,1.07323,0.84381,1.15852,0.0008318,0.0008318,0.0008318
61,1852.13,1.15195,1.01823,1.16458,0.79787,0.82353,0.86848,0.60562,1.1043,0.85949,1.1701,0.000812,0.000812,0.000812
62,1877.04,1.1457,1.11691,1.14649,0.77048,0.87961,0.86959,0.6113,1.11277,0.86353,1.16826,0.0007922,0.0007922,0.0007922
63,1903.98,1.16246,1.00689,1.16255,0.7552,0.86096,0.87795,0.63353,1.04628,0.82919,1.12249,0.0007724,0.0007724,0.0007724
64,1929.91,1.1467,0.95236,1.14135,0.8281,0.7861,0.87797,0.62823,1.0623,0.85141,1.1278,0.0007526,0.0007526,0.0007526
65,1953.55,1.2107,1.03708,1.17594,0.79725,0.8201,0.87501,0.62214,1.05455,0.85619,1.1366,0.0007328,0.0007328,0.0007328
66,1978.21,1.12319,0.92639,1.11274,0.77029,0.80697,0.84945,0.61248,1.03317,0.91017,1.12403,0.000713,0.000713,0.000713
67,2002.95,1.0993,0.95182,1.11382,0.83677,0.78075,0.85922,0.60573,1.04419,0.89691,1.12486,0.0006932,0.0006932,0.0006932
68,2027.23,1.12303,0.92242,1.13129,0.76336,0.86631,0.88527,0.63556,1.00811,0.80554,1.1131,0.0006734,0.0006734,0.0006734
69,2051.76,1.14131,0.95423,1.15369,0.83369,0.82888,0.88497,0.63961,1.03165,0.82461,1.12945,0.0006536,0.0006536,0.0006536
70,2078.89,1.12238,0.94088,1.12474,0.80832,0.83441,0.88618,0.64041,1.01226,0.80042,1.10974,0.0006338,0.0006338,0.0006338
71,2104.18,1.09559,0.9256,1.1378,0.84492,0.83957,0.89956,0.64233,1.0671,0.76607,1.11538,0.000614,0.000614,0.000614
72,2128.71,1.09648,0.93023,1.13376,0.82058,0.85599,0.89611,0.65283,1.0388,0.79203,1.10126,0.0005942,0.0005942,0.0005942
73,2152.67,1.05059,0.85272,1.08735,0.82407,0.87668,0.90245,0.6664,0.97808,0.74681,1.09489,0.0005744,0.0005744,0.0005744
74,2178.78,1.10975,0.87643,1.12674,0.85245,0.87701,0.89829,0.65964,1.00793,0.78603,1.09851,0.0005546,0.0005546,0.0005546
75,2204.88,1.10298,0.84127,1.11005,0.82589,0.86631,0.88714,0.64735,1.00176,0.78822,1.08108,0.0005348,0.0005348,0.0005348
76,2231.81,1.04939,0.88148,1.08569,0.81998,0.87701,0.90799,0.66586,0.96943,0.75742,1.07371,0.000515,0.000515,0.000515
77,2260.46,1.07086,0.88156,1.11807,0.84575,0.87701,0.9072,0.66294,0.97879,0.75369,1.07995,0.0004952,0.0004952,0.0004952
78,2287.39,1.07338,0.86133,1.12068,0.83044,0.87166,0.91227,0.68018,0.97545,0.7308,1.08617,0.0004754,0.0004754,0.0004754
79,2314.03,1.0174,0.83586,1.07116,0.83754,0.88221,0.9019,0.66986,0.98756,0.75145,1.08917,0.0004556,0.0004556,0.0004556
80,2338.98,1.07318,0.93203,1.09156,0.83595,0.87201,0.90514,0.64986,0.99741,0.74695,1.08525,0.0004358,0.0004358,0.0004358
81,2364.37,1.03785,0.80868,1.07907,0.79252,0.86096,0.87959,0.6608,0.96636,0.77544,1.0656,0.000416,0.000416,0.000416
82,2388.47,1.01118,0.82306,1.08811,0.82897,0.82941,0.89102,0.67331,0.96197,0.7891,1.06942,0.0003962,0.0003962,0.0003962
83,2415.73,1.04146,0.81979,1.08148,0.80023,0.87829,0.90647,0.67504,0.97845,0.73275,1.08413,0.0003764,0.0003764,0.0003764
84,2440.97,1.0684,0.90347,1.11091,0.85658,0.86096,0.90665,0.68981,0.95281,0.71458,1.07889,0.0003566,0.0003566,0.0003566
85,2466.17,1.03965,0.86649,1.07447,0.82696,0.86892,0.91154,0.6718,0.99402,0.70559,1.08206,0.0003368,0.0003368,0.0003368
86,2489.41,1.01725,0.80016,1.08866,0.81954,0.88235,0.91464,0.68524,0.95886,0.70057,1.0747,0.000317,0.000317,0.000317
87,2514.61,1.0411,0.81396,1.09888,0.85107,0.85564,0.9055,0.6802,0.95298,0.72449,1.06917,0.0002972,0.0002972,0.0002972
88,2539.75,0.98121,0.7734,1.06237,0.82001,0.90909,0.90949,0.68693,0.94325,0.69637,1.07419,0.0002774,0.0002774,0.0002774
89,2566.95,1.00116,0.78567,1.07064,0.8428,0.88879,0.91351,0.6917,0.93019,0.69205,1.0622,0.0002576,0.0002576,0.0002576
90,2591.22,0.97013,0.79775,1.07808,0.829,0.89305,0.91748,0.69301,0.92332,0.69945,1.0651,0.0002378,0.0002378,0.0002378
91,2617.76,0.84892,0.67707,1.01846,0.86065,0.89305,0.91672,0.68719,0.93789,0.70376,1.06333,0.000218,0.000218,0.000218
92,2642.24,0.84985,0.62998,1.01504,0.83961,0.89583,0.91446,0.69813,0.92898,0.70744,1.06598,0.0001982,0.0001982,0.0001982
93,2667.39,0.83691,0.57691,1.02085,0.80758,0.92018,0.9193,0.69906,0.91214,0.68157,1.05488,0.0001784,0.0001784,0.0001784
94,2690.63,0.81961,0.57316,1.00326,0.87057,0.85561,0.91939,0.69907,0.93044,0.68986,1.07161,0.0001586,0.0001586,0.0001586
95,2716.61,0.81942,0.55343,1.00847,0.85055,0.87701,0.92029,0.70519,0.90851,0.67765,1.05925,0.0001388,0.0001388,0.0001388
96,2743.05,0.817,0.54502,0.98735,0.85585,0.88902,0.92463,0.71001,0.91708,0.69012,1.05299,0.000119,0.000119,0.000119
97,2768.29,0.81694,0.54537,0.99717,0.8762,0.87166,0.92292,0.71471,0.8937,0.68293,1.05126,9.92e-05,9.92e-05,9.92e-05
98,2791.77,0.79209,0.53343,0.9945,0.85776,0.89305,0.92467,0.72252,0.88649,0.67042,1.05404,7.94e-05,7.94e-05,7.94e-05
99,2816.71,0.77224,0.52002,0.97415,0.85225,0.89454,0.92586,0.72442,0.88544,0.65921,1.04991,5.96e-05,5.96e-05,5.96e-05
100,2841.45,0.78596,0.51708,0.982,0.85721,0.88235,0.92363,0.71981,0.88672,0.66133,1.04899,3.98e-05,3.98e-05,3.98e-05
