epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,426.577,1.59188,1.61677,1.402,0.6766,0.60963,0.66762,0.40639,1.39074,1.45529,1.376,0.0013268,0.0013268,0.0013268
19,450.227,1.5431,1.58266,1.40093,0.74154,0.59893,0.70824,0.44228,1.38721,1.36713,1.37764,0.0012872,0.0012872,0.0012872
20,472.639,1.52964,1.59,1.39307,0.58599,0.52406,0.591,0.33762,1.42238,1.70349,1.44163,0.0012476,0.0012476,0.0012476
21,496.68,1.44932,1.48812,1.34451,0.65196,0.67115,0.68591,0.43039,1.33508,1.35596,1.32019,0.001208,0.001208,0.001208
22,519.361,1.45782,1.55071,1.314,0.74319,0.64997,0.74934,0.45892,1.34751,1.26575,1.31015,0.0011684,0.0011684,0.0011684
23,543.137,1.45607,1.47793,1.34477,0.79196,0.65775,0.77456,0.47985,1.35336,1.2871,1.32139,0.0011288,0.0011288,0.0011288
24,571.652,1.438,1.38279,1.29827,0.73085,0.70053,0.74506,0.46249,1.28764,1.24933,1.27933,0.0010892,0.0010892,0.0010892
25,595.53,1.39412,1.33983,1.28388,0.81529,0.6845,0.78152,0.48703,1.29738,1.21165,1.30234,0.0010496,0.0010496,0.0010496
26,617.984,1.40341,1.35479,1.28855,0.74456,0.71658,0.80575,0.52541,1.19821,1.08117,1.22998,0.00101,0.00101,0.00101
27,641.902,1.42008,1.36561,1.28473,0.80628,0.63102,0.72847,0.434,1.30744,1.31224,1.30234,0.0009704,0.0009704,0.0009704
28,666.336,1.42985,1.43852,1.29829,0.77333,0.68449,0.76522,0.4807,1.24827,1.19658,1.25681,0.0009308,0.0009308,0.0009308
29,688.245,1.35644,1.25114,1.25309,0.76044,0.69519,0.76261,0.4784,1.22114,1.15724,1.21652,0.0008912,0.0008912,0.0008912
30,711.825,1.37454,1.26467,1.24028,0.75195,0.72727,0.78887,0.52711,1.20352,1.1296,1.24565,0.0008516,0.0008516,0.0008516
31,735.022,1.32689,1.28782,1.25164,0.75749,0.76837,0.8197,0.53284,1.24182,1.0407,1.22408,0.000812,0.000812,0.000812
32,758.334,1.31767,1.17831,1.24895,0.80299,0.68449,0.79258,0.51468,1.17823,1.11378,1.2265,0.0007724,0.0007724,0.0007724
33,782.407,1.27645,1.16369,1.22404,0.76551,0.74332,0.79352,0.53381,1.21635,1.11899,1.24308,0.0007328,0.0007328,0.0007328
34,804.167,1.30501,1.15536,1.30668,0.76447,0.78104,0.82492,0.55894,1.19261,1.00404,1.2144,0.0006932,0.0006932,0.0006932
35,828.504,1.28769,1.19923,1.22518,0.7816,0.7861,0.85835,0.58079,1.14095,0.9462,1.2016,0.0006536,0.0006536,0.0006536
36,852.958,1.27199,1.13399,1.20386,0.79669,0.79679,0.84593,0.57129,1.18403,0.9529,1.19553,0.000614,0.000614,0.000614
37,875.027,1.25767,1.13352,1.19592,0.82992,0.80889,0.86277,0.59303,1.13367,0.91213,1.18277,0.0005744,0.0005744,0.0005744
38,899.893,1.27169,1.11565,1.20129,0.8229,0.81998,0.8535,0.58836,1.11678,0.91289,1.17198,0.0005348,0.0005348,0.0005348
39,924.365,1.22759,1.0735,1.19793,0.81787,0.76844,0.84699,0.57719,1.13959,0.94306,1.17503,0.0004952,0.0004952,0.0004952
40,946.943,1.20034,1.09579,1.20387,0.76394,0.82888,0.85723,0.59693,1.10317,0.88542,1.16071,0.0004556,0.0004556,0.0004556
41,973.274,1.07428,0.90659,1.16154,0.85814,0.83957,0.89564,0.61155,1.11192,0.87284,1.18051,0.000416,0.000416,0.000416
42,996.697,1.09335,0.89494,1.14802,0.82479,0.85027,0.88991,0.62991,1.04743,0.84076,1.13837,0.0003764,0.0003764,0.0003764
43,1018.96,1.07606,0.8282,1.13389,0.87607,0.79679,0.90347,0.6403,1.06936,0.84042,1.15811,0.0003368,0.0003368,0.0003368
44,1042.77,1.03441,0.7738,1.11415,0.83594,0.84471,0.90384,0.64436,1.0259,0.79735,1.11749,0.0002972,0.0002972,0.0002972
45,1065.55,1.01142,0.83932,1.12724,0.8394,0.8984,0.92088,0.66053,1.01285,0.77238,1.10641,0.0002576,0.0002576,0.0002576
46,1089.46,1.00609,0.74576,1.10633,0.85164,0.8877,0.91656,0.65924,0.99373,0.75974,1.10389,0.000218,0.000218,0.000218
47,1113.33,1.02856,0.83631,1.11248,0.85338,0.90264,0.91725,0.65629,1.01195,0.77049,1.10369,0.0001784,0.0001784,0.0001784
48,1135.96,0.95443,0.70825,1.06322,0.81953,0.89852,0.91604,0.6653,0.9898,0.74775,1.09992,0.0001388,0.0001388,0.0001388
49,1160.54,0.94609,0.70496,1.05923,0.88129,0.87337,0.92097,0.676,0.97201,0.73788,1.08887,9.92e-05,9.92e-05,9.92e-05
50,1184.65,0.93503,0.68144,1.06589,0.88396,0.89305,0.92633,0.67895,0.96907,0.73282,1.08864,5.96e-05,5.96e-05,5.96e-05
