epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.247,1.95202,4.44732,1.6268,0.00195,0.77005,0.02793,0.02016,1.63167,4.78598,1.61216,0.000653061,0.000653061,0.000653061
2,50.4989,1.86957,3.38036,1.58216,0.16332,0.17015,0.08902,0.04043,1.84799,3.74804,1.86774,0.0012936,0.0012936,0.0012936
3,72.8456,1.90106,3.04353,1.62468,0.29461,0.11838,0.09819,0.04372,2.35327,3.98375,2.26284,0.00190773,0.00190773,0.00190773
4,97.6552,1.8988,2.63911,1.61964,0.42038,0.25668,0.24448,0.09778,1.96814,2.66008,1.87893,0.0018812,0.0018812,0.0018812
5,122.123,1.94128,2.42179,1.63986,0.30144,0.32086,0.28215,0.13503,1.91756,3.00886,1.71949,0.0018416,0.0018416,0.0018416
6,144.959,1.91758,2.33591,1.64931,0.50492,0.41711,0.41572,0.22278,1.65308,3.99957,1.58857,0.001802,0.001802,0.001802
7,169.336,1.80024,2.22081,1.55718,0.58353,0.42781,0.46368,0.23653,1.57201,2.19121,1.5415,0.0017624,0.0017624,0.0017624
8,193.746,1.78246,2.03572,1.57828,0.478,0.35829,0.37921,0.1921,1.65687,2.21685,1.57675,0.0017228,0.0017228,0.0017228
9,215.992,1.7697,1.94219,1.54518,0.52084,0.4385,0.41184,0.20918,1.58672,2.06401,1.48472,0.0016832,0.0016832,0.0016832
10,239.937,1.73334,1.85657,1.50323,0.53461,0.47059,0.46275,0.24683,1.60975,1.80543,1.54566,0.0016436,0.0016436,0.0016436
11,263.889,1.68298,1.82276,1.48485,0.5753,0.52941,0.55197,0.30085,1.48888,1.72748,1.46683,0.001604,0.001604,0.001604
12,286.26,1.64271,1.77452,1.45683,0.53239,0.45989,0.45708,0.2612,1.55303,2.41475,1.45694,0.0015644,0.0015644,0.0015644
13,310.138,1.67523,1.79884,1.45144,0.65613,0.5816,0.612,0.35252,1.53417,1.59765,1.45773,0.0015248,0.0015248,0.0015248
14,333.431,1.6249,1.71909,1.45591,0.56486,0.47594,0.49728,0.29049,1.49595,1.83952,1.43998,0.0014852,0.0014852,0.0014852
15,356.606,1.61696,1.71702,1.45326,0.58094,0.56342,0.56866,0.32728,1.44773,1.64066,1.39509,0.0014456,0.0014456,0.0014456
16,380.162,1.58251,1.6053,1.40349,0.64417,0.59893,0.62172,0.36982,1.44861,1.53169,1.42513,0.001406,0.001406,0.001406
17,402.603,1.54116,1.59381,1.40074,0.70172,0.55354,0.62191,0.34812,1.42116,1.69862,1.36195,0.0013664,0.0013664,0.0013664
